"","municipio","seccion","casilla","tipo_casilla","padron_electoral","listado_nominal","clasificacion","estrato"
"160","2. MEXICALI","02_0439","URBANA","C1",586,584,"indefinidos","2. MEXICALI URBANA indefinidos"
"161","2. MEXICALI","02_0439","URBANA","S1",0,0,"indefinidos","2. MEXICALI URBANA indefinidos"
"162","2. MEXICALI","02_0440","URBANA","B1",523,521,"indefinidos","2. MEXICALI URBANA indefinidos"
"163","2. MEXICALI","02_0440","URBANA","C1",523,521,"indefinidos","2. MEXICALI URBANA indefinidos"
"164","2. MEXICALI","02_0441","URBANA","B1",641,640,"panistas","2. MEXICALI URBANA panistas"
"165","2. MEXICALI","02_0441","URBANA","C1",641,640,"panistas","2. MEXICALI URBANA panistas"
"166","2. MEXICALI","02_0442","URBANA","B1",532,530,"indefinidos","2. MEXICALI URBANA indefinidos"
"167","2. MEXICALI","02_0442","URBANA","C1",532,530,"indefinidos","2. MEXICALI URBANA indefinidos"
"168","2. MEXICALI","02_0442","URBANA","C2",531,530,"indefinidos","2. MEXICALI URBANA indefinidos"
"169","2. MEXICALI","02_0443","URBANA","B1",683,683,"indefinidos","2. MEXICALI URBANA indefinidos"
"170","2. MEXICALI","02_0443","URBANA","C1",683,682,"indefinidos","2. MEXICALI URBANA indefinidos"
"171","2. MEXICALI","02_0444","URBANA","B1",715,714,"indefinidos","2. MEXICALI URBANA indefinidos"
"172","2. MEXICALI","02_0444","URBANA","C1",715,714,"indefinidos","2. MEXICALI URBANA indefinidos"
"173","2. MEXICALI","02_0444","URBANA","C2",715,714,"indefinidos","2. MEXICALI URBANA indefinidos"
"174","2. MEXICALI","02_0444","URBANA","C3",715,714,"indefinidos","2. MEXICALI URBANA indefinidos"
"175","2. MEXICALI","02_0444","URBANA","C4",715,714,"indefinidos","2. MEXICALI URBANA indefinidos"
"176","2. MEXICALI","02_0444","URBANA","C5",715,714,"indefinidos","2. MEXICALI URBANA indefinidos"
"177","2. MEXICALI","02_0444","URBANA","C6",715,714,"indefinidos","2. MEXICALI URBANA indefinidos"
"178","2. MEXICALI","02_0444","URBANA","C7",715,714,"indefinidos","2. MEXICALI URBANA indefinidos"
"179","2. MEXICALI","02_0444","URBANA","C8",715,713,"indefinidos","2. MEXICALI URBANA indefinidos"
